date,negative,netural,positive
2018-12-3,39.62608965,-25.35564494,-2.726582482
2018-12-4,24.58238127,-31.31860527,17.78521152
2018-12-5,20.70974955,-34.53041971,27.49006339
2018-12-6,35.3668622,-31.22809985,9.582705051
2018-12-7,22.36390773,-30.3637304,20.29509777
2018-12-10,51.62086295,-25.52184603,-9.866117641
2018-12-11,58.09664346,-36.30622724,-1.747685254
2018-12-12,29.17889547,-29.87040704,15.04559087
2018-12-13,36.87691393,-25.72982213,3.534206048
2018-12-14,47.7055128,-46.4753595,21.55959561
2018-12-17,38.52433379,-24.14757019,-2.749776289
2018-12-18,81.78203905,-45.7937803,-7.925027713
2018-12-19,46.58221391,-38.52132341,13.6884207
2018-12-20,79.27018563,-48.73827669,-4.144781984
2018-12-21,51.15304278,-41.80161175,11.85612966
2018-12-24,56.69090264,-34.6635779,-1.779947162
2018-12-25,86.17693031,-43.88638657,-14.19215769
2018-12-26,46.5130099,-35.06671718,3.600368798
2018-12-27,24.49480245,-38.92733547,31.58022573
2018-12-28,35.2584471,-54.3592529,42.41241045
2018-12-31,-15.47571399,-29.56927565,51.34520052
2019-1-1,-12.06914724,-12.71006933,25.45832148
2019-1-2,42.14456377,-43.38134819,21.77175072
2019-1-3,77.46476017,-48.36513016,-2.598299518
2019-1-4,38.79836725,-49.781937,32.17787923
2019-1-7,12.89300291,-36.63632959,33.36521429
2019-1-8,34.21144176,-38.28980237,21.45777336
2019-1-9,66.71617465,-51.89418069,11.68457767
2019-1-10,39.99335286,-46.9019022,27.03374177
2019-1-11,40.67972262,-43.83627972,23.55748791
2019-1-14,58.83014547,-25.37419707,-18.88968769
2019-1-15,29.7424143,-38.52393338,22.88040231
2019-1-16,56.95681033,-34.96074373,-3.114316881
2019-1-17,35.53803995,-36.05401981,15.52077587
2019-1-18,85.0628849,-41.29879984,-17.18142867
2019-1-21,31.85254856,-26.61846083,5.41485706
2019-1-22,47.51416559,-29.53632084,-3.507274106
2019-1-23,57.62451068,-40.37898302,5.090311766
2019-1-24,40.8703154,-37.98575419,12.2329015
2019-1-25,47.06472969,-31.39896849,2.978060782
2019-1-28,7.374142759,-15.93862805,12.17768268
2019-1-29,14.0762248,-36.43383718,34.54483843
2019-1-30,42.77855068,-28.27049407,-0.305598944
2019-1-31,29.05213773,-32.7416476,17.55737374
2019-2-1,23.64098906,-26.36522952,15.01404637
2019-2-4,4.253533854,-15.90420607,18.20338657
2019-2-5,5.939674258,-17.70572311,20.07826039
2019-2-6,24.90208833,-25.21871001,11.50134654
2019-2-7,18.80731254,-21.37724134,9.528657362
2019-2-8,36.91901803,-19.73339331,-6.923771031
2019-2-11,34.03896097,-21.69425079,3.67821341
2019-2-12,20.30314083,-35.66714844,30.91991812
2019-2-13,29.74883626,-34.14243069,18.98518714
2019-2-14,42.7870056,-33.27908373,5.337446958
2019-2-15,50.22925708,-35.61725527,3.08049044
2019-2-18,11.62329847,-26.14592066,23.86835372
2019-2-19,50.22152904,-41.84691221,7.43748039
2019-2-20,37.95509606,-33.72452185,8.251225337
2019-2-21,41.76250577,-32.56202206,5.505803123
2019-2-22,66.38724604,-42.05195388,-1.766410336
2019-2-25,32.12476066,-32.90811193,17.76662545
2019-2-26,48.66445254,-35.65749744,2.447131336
2019-2-27,74.07424844,-38.22705635,-14.10610297
2019-2-28,35.27844058,-32.89821669,11.65667801
2019-3-1,56.529055,-32.42512605,-3.905463696
2019-3-4,55.64777802,-32.63859603,-4.708927989
2019-3-5,49.18636106,-33.51049271,-0.122805208
2019-3-6,31.8967669,-29.91434428,13.21578369
2019-3-7,54.73006127,-37.22652003,-0.075317264
2019-3-8,28.97880373,-27.26962204,15.2211194
2019-3-11,33.75618325,-33.34961444,16.47954017
2019-3-12,13.79955386,-37.34526792,35.44346
2019-3-13,46.25140094,-31.20469958,1.510142446
2019-3-14,55.01405259,-38.96515566,2.333746731
2019-3-15,33.75890971,-32.43788424,13.82770081
